"FeatureClass	FeatureCode	Navn	Merknad	BokmÌ´l	Nynorsk	Kvensk	Finsk	Engelsk";
"A	ADM1	first-order administrative division	a primary administrative division of a country, such as a state in the United States	region	region	hallintoala	primÌ_Ì_ri hallinnollinen osasto	region";
"A	ADM2	second-order administrative division	a subdivision of a first-order administrative division	administrativ inndeling	administrativ inndeling	administratiivinen jako	sekundÌ_Ì_ri hallinnollinen osasto	administrative division";
"A	ADM3	third-order administrative division	a subdivision of a second-order administrative division	administrativ inndeling	administrativ inndeling	administratiivinen jako	kolmannen asteen hallinnollinen osasto	administrative division";
"A	ADM4	fourth-order administrative division	a subdivision of a third-order administrative division	administrativ inndeling	administrativ inndeling	administratiivinen jako	neljÌ_nnen asteen hallinnollinen osasto	administrative division";
"A	ADMD	administrative division	an administrative division of a country, undifferentiated as to administrative level	administrativ inndeling	administrativ inndeling	administratiivinen jako	hallinnollinen osasto	administrative division";
"A	LTER	leased area	a tract of land leased by the United Kingdom from the People's Republic of China to form part of Hong Kong	leid landomrÌ´de	leigd landomrÌ´de	laikotettu maa-ala	vuokrattu alue	leased area";
"A	PCL	political entity		politisk enhet	politisk eining	polittinen joukko	poliittinen yhteisÌ¦	political entity";
"A	PCLD	dependent political entity		avhengig politisk enhet	avhengig politisk eining	epÌ_ittenÌ_inen polittinen joukko	riippuvainen poliittinen yhteisÌ¦	dependent political entity";
"A	PCLF	freely associated state		fritt tilknyttet stat	fritt tilknytt stat	vappaa staatti	vapaa maa	freely associated state";
"A	PCLI	independent political entity		land	land	maa	riippumaton poliittinen yhteisÌ¦	country";
"A	PCLIX	section of independent political entity		del av uavhengig politisk enhet	del av uavhengig politisk eining	ittenÌ_isen polittisen joukon osa	riippumattoman poliittisen yhteisÌ¦n osa	section of independent political entity";
"A	PCLS	semi-independent political entity		delvis uavhengig politisk enhet	delvis uavhengig politisk eining	osittan ittenÌ_inen polittinen joukko	osittain riippumaton poliittinen yhteisÌ¦	semi-independent political entity";
"A	PRSH	parish	an ecclesiastical district	sogn	sokn	piÌ_s	pitÌ_jÌ_/seurakunta	parish";
"A	PRSH	parish	an ecclesiastical district	sogn	sokn	suokkana	pitÌ_jÌ_/seurakunta	parish";
"A	TERR	territory		territorium	territorium	territorio	alue	territory";
"A	ZN	zone		sone	sone	ala	vyÌ¦hyke	zone";
"A	ZNB	buffer zone	a zone recognized as a buffer between two nations in which military presence is minimal or absent	buffersone	buffersone	bufferiala	puskurivyÌ¦hyke	buffer zone";
"H	AIRS	seaplane landing area	a place on a waterbody where floatplanes land and take off	landingsomrÌ´de for sjÌüfly	landingsomrÌ´de for sjÌüfly	meriflyyin laskeutumisala	kellukekoneen laskeutumisalue	seaplane landing area";
"H	ANCH	anchorage	an area where vessels may anchor	ankerplass	ankerplass	ankkuripaikka	akkurointipaikka	anchorage";
"H	BAY	bay	a coastal indentation between two capes or headlands, larger than a cove but smaller than a gulf	bukt	bukt	lahti	lahti	bay";
"H	BAYS	bays	coastal indentations between two capes or headlands, larger than a cove but smaller than a gulf	bukter	bukter	lah€Ôetlah€Ôetlah€Ôetlah€Ôetlah€Ôetlah€Ôetlah€Ôetlah€Ôetlah€Ôetlah€Ôetlah€Ôetlah€Ôetlah€Ôetlah€Ôetlah€Ôetlah€Ôetlah€Ôetlah€Ôetlah€Ôetlah€Ôetlah€Ôetlah€Ôetlah€Ôetlah€Ôetlah€Ôetlah€Ôetlah€Ôetlah€Ôetlah€Ôetlah€Ôetlah€Ôetlah€Ôetlah€Ôetlah€Ôetlah€Ôetlah€Ôetlah€Ôetlah€Ôetlah€Ôetlah€Ôetlah€Ôetlah€Ôet	puokamat	bays";
"H	BGHT	bight(s)	an open body of water forming a slight recession in a coastline	vik	vik	mukka	poukama/lahti	bight";
"H	BNK	bank(s)	an elevation, typically located on a shelf, over which the depth of water is relatively shallow but sufficient for most surface navigation	banker	bankar	pankit	sÌ_rkÌ_t/luodot/tÌ¦rmÌ_t	bank";
"H	BNKR	stream bank	a sloping margin of a stream channel which normally confines the stream to its channel on land	elvebredd	elvebreidd	jokimella	joen tÌ¦rmÌ_	stream bank";
"H	BNKX	section of bank		del av bredd	del av breidd	mellan osa	tÌ¦rmÌ_n osa	section of bank";
"H	BOG	bog(s)	a wetland characterized by peat forming sphagnum moss, sedge, and other acid-water plants	myr	myr	jÌ_nkkÌ_	suo	bog";
"H	CAPG	icecap	a dome-shaped mass of glacial ice covering an area of mountain summits or other high lands";" smaller than an ice sheet	iskappe	iskappe	jÌ_Ì_tikkÌ¦	jÌ_Ì_vuori	icecap"
"H	CHN	channel	the deepest part of a stream, bay, lagoon, or strait, through which the main current flows	kanal	kanal	vÌ_ylÌ_	kanava	channel";
