"Lemma","POS","trans","tPOS","1stamme","2stamme","syntrans","syntransPOS","syntrans2","syntrans2POS","syntrans3","syntrans3POS","syneks","syneks2","syneks3"
"velvolinen","adj","ansvarlig",,"velvolise-","velvolis-",,,,,,,,,
"valmis","adj","ferdig",,"valmhii-","-",,,,,,,,,
"lamu","adj","vidstrakt",,"lammu-",,,,,,,,,,
"murree","adj","mør","a1","-","-",,,,,,,,,
"loppumaton","adj","uendelig",,"loppumattoma-","-",,,,,,,,,
"rappee","adj","drøy","a1","-","-",,,,,,,,,
"halpa","adj","billig",,"halva-","halppa-",,,,,,,,,
"neljenkanttinen","adj","firkantet",,"neljenkanttise-","neljenkanttis-",,,,,,,,,
"klaari","adj","klar","a1","-","-",,,,,,,,,
"kirjaava","adj","fargerik",,"-","-",,,,,,,,,
"ehhee","adj","hel","a1","-","-",,,,,,,,,
"tuommanen","adj","sånn der",,"tuommase-","tuommas-",,,,,,,,,
"vihrinen","adj","grøn|n","a1","vihrise-","vihris-",,,,,,,,,
"vaaleepunanen","adj","lyserød","a1","vaaleepunase-","vaaleepunas-",,,,,,,,,
"aniliinipunanen","adj","anilinrød",,"aniliinipunase-","aniliinipunas-",,,,,,,,,
"vihrinen","adj","grøn|n","a1","vihrise-","vihris-",,,,,,,,,
"hengelinen","adj","åndelig",,"hengelise-","hengelis-",,,,,,,,,
"elläävä","adj","levende",,"-","-",,,,,,,,,
"ruottii","adj","svensk",,"-","-",,,,,,,,,
"sitkee","adj","seig","a1","-","-",,,,,,,,,
"mahðoton","adj","umulig",,"mahðottoma-","-",,,,,,,,,
"tämänlainen","adj","sånn (her)",,"tämänlaise-","tämänlais-",,,,,,,,,
"ylimielinen","adj","frekk",,"ylimielise-","ylimielis-",,,,,,,,,
"sentraali","adj","sentral","a1","-","-",,,,,,,,,
"pitukainen","adj","av - lengde",,"pitukaise-","pitukais-",,,,,,,,,
"arvoton","adj","verdiløs","a1","arvottoma-","-",,,,,,,,,
"selvä","adj","klar","a1","-","-",,,,,,,,,
"kylmetty","adj","frosen","a1","kylmety-","-",,,,,,,,,
"kiilttäävä","adj","glinsende",,"-","-","lysende",,,,,,,,
"valkkee","adj","lys","a1","-","-",,,,,,,,,
"varma","adj","sikker",,"-","-",,,,,,,,,
"klaari","adj","klar","a1","-","-",,,,,,,,,
"tiukka","adj","hård","a1","tiuka-","-",,,,,,,,,
"luvaton","adj","ulovlig",,"luvattoma-","-",,,,,,,,,
"puutheelinen","adj","mangelfull","a1","puutheelise-","puutheelis-",,,,,,,,,
"ruma","adj","dæven",,"rumma-",,"styg|g","a1",,,,,,,
"pimmeenarka","adj","mørkeredd",,"pimmeenara-","pimmeenarkka-",,,,,,,,,
"puolikokonen","adj","halvstor","a1","puolikokose-","puolikokos-",,,,,,,,,
"hengelinen","adj","åndelig",,"hengelise-","hengelis-",,,,,,,,,
"siila","adj","slap|p","a1","-","-",,,,,,,"Se oli siila kala",,
"keskimäinen","adj","midterste",,"keskimäise-","keskimäis-",,,,,,,,,
"armoton","adj","nådeløs","a1","armotoma-","-",,,,,,,"Armaton kaunis",,
"kotitekonen","adj","hjemmegjort",,"kotitekose-","kotitekos-",,,,,,,,,
"uskolinen","adj","trofast",,"uskolise-","uskolis-",,,,,,,,,
"ahðas","adj","trang","a1","ahthaa-","-",,,,,,,,,
"virttaava","adj","stri",,"-","-","mye strøm",,,,,,,,
"suomenkielinen","adj","finskspråklig",,"suomenkielise-","suomenkielis-",,,,,,,,,
"ulkokullaittu","adj","?",,"-","-",,,,,,,,,
"karsas","adj","skimmeløyd",,"karshaa-","-",,,,,,,,,
"salanen","adj","hemmelig",,"salase-","salas-",,,,,,,,,
"vasempi","adj","venstre",,"vasemma-","vasemppa-",,,,,,,,,
"elläävä","adj","levende",,"-","-",,,,,,,,,
"pienenlainen","adj","temmelig liten",,"pienenlaise-","pienenlais-",,,,,,,,,
"löysi","adj","løs","a1","-","-",,,,,,,,,
"rynkkynen","adj","rynkete",,"rynkkyse-","rynkkys-",,,,,,,,,
"haalee","adj","lunken","a1","-","-",,,,,,,,,
"syntinen","adj","syndig",,"syntise-","syntis-",,,,,,,,,
"ratikaali","adj","radikal","a1","-","-",,,,,,,,,
"nokinen","adj","sotete",,"nokise-","nokis-",,,,,,,,,
"runsas","adj","rikelig",,"runshaa-","-","dryg","a1",,,,,,,
"virttaava","adj","stri",,"-","-","mye strøm",,,,,,,,
"vilunen","adj","kjølig",,"viluse-","vilus-",,,,,,,,,
"mätä","adj","råtten","a1","-","-",,,,,,,,,
"sentraali","adj","sentral","a1","-","-",,,,,,,,,
"kevvee","adj","lett",,"-","-",,,,,,,,,
"tiinet","adj","drektig",,"tiinhee-","-",,,,,,,,,
"mittaamaton","adj","umålelig",,"mittaamattoma-","-",,,,,,,,,
"kiinttee","adj","stram",,"-","-",,,,,,,,,
"hengistyny","adj","andpusten",,"hengistynhee-","-",,,,,,,,,
"alaston","adj","naken",,"alastoma-","-",,,,,,,,,
